                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.984,                 3.6379,                 3.6802,                0.09854,                0.23846,                 0.0585,                 0.0163,                 2.4872,                 3.8681,                 3.3293,             0.00055417,             0.00055417,             0.00055417
                      2,                 2.0794,                 2.8983,                 2.5827,                0.17262,                0.27596,                0.13511,                0.05597,                 2.0777,                 2.9803,                  2.738,              0.0010989,              0.0010989,              0.0010989
                      3,                 1.7768,                 2.4709,                 2.2382,                0.34281,                0.35533,                0.25395,                0.14154,                 1.7531,                 2.3695,                 2.3603,              0.0016325,              0.0016325,              0.0016325
                      4,                 1.6207,                   2.26,                 2.0956,                0.35861,                0.42773,                0.32644,                0.18765,                 1.6142,                 2.2246,                 2.1951,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.5167,                 2.0841,                 1.9662,                0.47131,                0.40063,                0.39886,                0.23483,                 1.5956,                 2.0918,                 2.1526,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.4386,                  1.961,                 1.8955,                0.51421,                0.41978,                0.43827,                0.26126,                 1.5584,                 1.9427,                  2.127,               0.001601,               0.001601,               0.001601
                      7,                 1.4009,                 1.8806,                 1.8549,                0.58616,                0.46011,                0.51021,                0.32637,                 1.4429,                 1.7544,                 1.9833,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.3629,                 1.8101,                 1.8149,                0.57599,                0.47086,                0.50147,                0.32245,                 1.4206,                 1.7471,                 1.9579,               0.001568,               0.001568,               0.001568
                      9,                 1.3349,                 1.7525,                 1.7828,                0.60513,                0.46094,                0.49719,                0.33043,                 1.3975,                 1.7879,                 1.9213,              0.0015515,              0.0015515,              0.0015515
                     10,                  1.302,                 1.6908,                 1.7574,                0.63028,                0.51187,                0.56448,                0.37556,                 1.3386,                 1.5498,                 1.8602,               0.001535,               0.001535,               0.001535
                     11,                 1.2561,                 1.6244,                 1.7202,                0.63112,                0.54825,                0.59148,                0.39717,                 1.2999,                 1.4929,                 1.8117,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.2397,                 1.5904,                 1.6935,                0.67636,                0.52585,                0.59165,                0.39564,                  1.323,                 1.4771,                 1.8354,               0.001502,               0.001502,               0.001502
                     13,                  1.228,                 1.5695,                  1.683,                0.65144,                0.53371,                0.59517,                0.40312,                  1.299,                 1.4659,                 1.8003,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.2085,                 1.5212,                 1.6629,                0.68261,                0.54463,                0.60685,                0.41703,                 1.2561,                 1.4076,                 1.7626,               0.001469,               0.001469,               0.001469
                     15,                  1.181,                 1.4943,                 1.6443,                0.70105,                0.53941,                0.61384,                0.42909,                 1.2373,                 1.3786,                 1.7294,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.1792,                 1.4797,                 1.6374,                0.70436,                0.54765,                0.63015,                0.44113,                 1.2198,                 1.3538,                 1.7093,               0.001436,               0.001436,               0.001436
                     17,                 1.1705,                 1.4609,                 1.6247,                0.68578,                0.55237,                0.61635,                0.42942,                 1.2131,                 1.3695,                 1.6987,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.1597,                 1.4313,                 1.6144,                0.69161,                 0.5454,                0.62307,                0.43646,                 1.1975,                 1.3158,                 1.6907,              0.0014029,              0.0014029,              0.0014029
                     19,                  1.139,                 1.4074,                 1.5946,                0.72231,                0.56215,                0.64363,                0.45024,                 1.1965,                 1.2866,                 1.6842,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.1254,                 1.3803,                 1.5801,                0.72735,                0.57035,                0.64702,                0.45575,                 1.1713,                 1.2903,                 1.6534,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.1176,                  1.346,                 1.5725,                0.73974,                0.58471,                0.65965,                0.46558,                 1.1689,                 1.2293,                 1.6588,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.1113,                 1.3473,                  1.574,                0.74287,                0.59361,                0.67145,                0.48114,                 1.1528,                 1.2148,                 1.6402,              0.0013369,              0.0013369,              0.0013369
                     23,                  1.088,                 1.3151,                  1.554,                0.71433,                0.59187,                0.66575,                0.47562,                 1.1356,                 1.2139,                 1.6161,              0.0013204,              0.0013204,              0.0013204
                     24,                  1.091,                 1.3123,                 1.5499,                0.73027,                0.58981,                0.67307,                0.47974,                 1.1377,                 1.1847,                 1.6175,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.0952,                 1.3062,                 1.5512,                0.73791,                0.59812,                0.67688,                0.48398,                 1.1291,                 1.1744,                 1.6146,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.0877,                 1.2872,                 1.5442,                0.75411,                 0.5994,                0.68911,                0.49158,                 1.1269,                 1.1498,                 1.6019,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.0662,                 1.2784,                 1.5247,                0.76425,                  0.602,                0.68329,                 0.4935,                 1.1078,                 1.1476,                 1.5852,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.0756,                 1.2703,                 1.5337,                 0.7561,                0.59695,                0.69173,                 0.4967,                 1.1092,                 1.1572,                 1.5873,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.0622,                 1.2544,                 1.5254,                 0.7697,                0.60718,                0.70059,                0.50346,                 1.1101,                 1.1161,                 1.5821,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.0587,                 1.2607,                 1.5204,                0.74752,                0.60626,                0.69032,                0.48919,                 1.1336,                 1.1487,                 1.6037,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.0436,                 1.2076,                 1.5061,                0.77618,                0.59518,                0.68783,                0.49639,                 1.0956,                 1.1455,                 1.5747,              0.0011884,              0.0011884,              0.0011884
                     32,                  1.038,                 1.2099,                  1.504,                0.76146,                0.61228,                0.69455,                0.49972,                  1.102,                 1.1186,                 1.5786,              0.0011719,              0.0011719,              0.0011719
                     33,                  1.044,                  1.223,                 1.5059,                0.75108,                0.62674,                0.70333,                0.50583,                  1.097,                 1.0934,                 1.5678,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.0305,                 1.2025,                 1.4959,                0.76438,                0.61003,                0.70241,                0.50899,                 1.0949,                 1.0974,                 1.5652,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.0368,                 1.2126,                 1.4995,                0.76788,                0.62642,                0.70804,                0.51139,                 1.0952,                 1.0984,                 1.5512,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.0312,                 1.1882,                 1.4912,                0.77579,                0.62281,                0.71093,                0.51649,                 1.0662,                 1.0779,                 1.5307,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.0286,                 1.1883,                 1.4858,                 0.7682,                0.62404,                0.70767,                0.51619,                 1.0682,                 1.0833,                 1.5257,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.0132,                 1.1597,                 1.4702,                0.77485,                0.64066,                 0.7212,                0.52656,                 1.0628,                 1.0512,                 1.5112,              0.0010729,              0.0010729,              0.0010729
                     39,                  1.022,                 1.1623,                  1.484,                 0.7586,                0.63572,                0.71292,                0.51871,                 1.0676,                 1.0687,                 1.5256,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.0046,                 1.1589,                 1.4686,                0.78369,                0.62084,                0.71794,                0.52798,                 1.0665,                 1.0378,                 1.5204,              0.0010399,              0.0010399,              0.0010399
                     41,                0.99631,                 1.1388,                 1.4599,                 0.7766,                0.62989,                 0.7206,                0.52509,                 1.0633,                 1.0456,                 1.5202,              0.0010234,              0.0010234,              0.0010234
                     42,                0.99711,                 1.1328,                 1.4603,                0.77845,                0.63704,                0.72643,                0.53379,                 1.0507,                 1.0357,                 1.5049,              0.0010069,              0.0010069,              0.0010069
                     43,                0.99167,                 1.1286,                 1.4527,                0.79018,                0.63426,                0.72974,                0.53201,                 1.0559,                 1.0266,                 1.5014,             0.00099036,             0.00099036,             0.00099036
                     44,                0.98964,                 1.1169,                 1.4517,                0.78139,                0.64419,                 0.7352,                0.53742,                 1.0496,                 1.0086,                 1.4917,             0.00097386,             0.00097386,             0.00097386
                     45,                0.99818,                  1.111,                 1.4521,                0.78996,                0.64519,                0.73774,                0.54039,                  1.045,                0.99626,                 1.4861,             0.00095736,             0.00095736,             0.00095736
                     46,                0.99306,                 1.1121,                   1.45,                0.78579,                0.64062,                0.73439,                0.53704,                 1.0474,                0.99305,                 1.4977,             0.00094085,             0.00094085,             0.00094085
