                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.98519,                 1.1125,                 1.4454,                0.77112,                0.64727,                0.73701,                0.53863,                 1.0504,                 0.9963,                 1.4935,             0.00092435,             0.00092435,             0.00092435
                     48,                0.97812,                 1.1042,                 1.4402,                 0.7898,                0.65557,                0.73944,                0.54259,                 1.0407,                0.98689,                 1.4956,             0.00090785,             0.00090785,             0.00090785
                     49,                0.98243,                 1.0871,                 1.4377,                0.80799,                0.63582,                0.73791,                0.54312,                 1.0386,                0.98463,                 1.4839,             0.00089134,             0.00089134,             0.00089134
                     50,                0.97091,                 1.0868,                 1.4305,                0.80195,                0.64748,                0.74258,                  0.545,                  1.033,                0.97605,                  1.484,             0.00087484,             0.00087484,             0.00087484
                     51,                0.97354,                 1.0825,                 1.4277,                0.78707,                0.65001,                0.74101,                0.54715,                 1.0331,                0.97851,                 1.4767,             0.00085834,             0.00085834,             0.00085834
                     52,                0.96527,                 1.0816,                 1.4218,                0.82185,                0.63626,                0.74387,                0.54842,                 1.0352,                0.97968,                 1.4745,             0.00084184,             0.00084184,             0.00084184
                     53,                0.96551,                 1.0645,                 1.4261,                0.77896,                0.66101,                0.74393,                 0.5502,                 1.0265,                0.97577,                 1.4675,             0.00082533,             0.00082533,             0.00082533
                     54,                0.96107,                 1.0628,                 1.4204,                0.80292,                 0.6508,                0.74474,                0.55018,                 1.0246,                0.96727,                 1.4761,             0.00080883,             0.00080883,             0.00080883
                     55,                 0.9538,                 1.0568,                 1.4178,                0.80574,                0.64836,                0.74779,                0.55464,                 1.0203,                0.95986,                 1.4633,             0.00079233,             0.00079233,             0.00079233
                     56,                0.96441,                 1.0467,                 1.4191,                0.78185,                0.65847,                0.74642,                 0.5502,                 1.0203,                0.95348,                 1.4666,             0.00077582,             0.00077582,             0.00077582
                     57,                0.95711,                 1.0422,                 1.4171,                0.79648,                0.65364,                0.74802,                0.55236,                 1.0253,                0.95495,                 1.4664,             0.00075932,             0.00075932,             0.00075932
                     58,                0.95924,                 1.0447,                 1.4149,                0.80185,                0.65472,                 0.7508,                0.55635,                 1.0136,                0.94771,                 1.4538,             0.00074282,             0.00074282,             0.00074282
                     59,                0.94159,                 1.0361,                 1.4067,                0.79744,                0.66453,                0.75177,                0.55675,                 1.0122,                0.93849,                 1.4543,             0.00072631,             0.00072631,             0.00072631
                     60,                0.94456,                 1.0336,                 1.4067,                0.80783,                0.65901,                0.75278,                0.56034,                 1.0094,                0.93791,                  1.452,             0.00070981,             0.00070981,             0.00070981
                     61,                0.93899,                 1.0208,                 1.3997,                0.81236,                 0.6523,                0.75409,                0.55734,                 1.0103,                0.94051,                 1.4491,             0.00069331,             0.00069331,             0.00069331
                     62,                0.93643,                  1.008,                 1.3983,                0.80424,                0.66577,                0.75622,                0.55778,                  1.019,                 0.9406,                 1.4573,              0.0006768,              0.0006768,              0.0006768
                     63,                0.93459,                 1.0081,                 1.3954,                0.81322,                0.65673,                0.75503,                0.55907,                 1.0092,                 0.9303,                 1.4496,              0.0006603,              0.0006603,              0.0006603
                     64,                0.92517,                 1.0054,                 1.3937,                0.82692,                0.65689,                0.75698,                0.55974,                 1.0102,                0.93006,                 1.4514,              0.0006438,              0.0006438,              0.0006438
                     65,                0.93101,                 1.0049,                 1.3943,                0.80052,                0.66678,                 0.7578,                0.56073,                   1.01,                0.92923,                 1.4466,             0.00062729,             0.00062729,             0.00062729
                     66,                0.92901,                0.99731,                 1.3912,                0.80615,                0.66157,                0.75596,                0.56058,                 1.0081,                0.92619,                 1.4434,             0.00061079,             0.00061079,             0.00061079
                     67,                0.93205,                 1.0068,                 1.3957,                  0.809,                0.65929,                0.75826,                0.56264,                 1.0026,                0.92392,                 1.4401,             0.00059429,             0.00059429,             0.00059429
                     68,                0.91604,                0.98799,                 1.3843,                0.81612,                 0.6614,                0.76255,                0.56426,                 1.0031,                0.92032,                 1.4372,             0.00057778,             0.00057778,             0.00057778
                     69,                 0.9201,                0.99886,                  1.389,                0.81941,                0.66313,                0.76316,                0.56579,                 1.0061,                0.91822,                   1.44,             0.00056128,             0.00056128,             0.00056128
                     70,                0.91093,                0.98343,                 1.3822,                0.81749,                0.66074,                0.76158,                0.56623,                0.99859,                0.91309,                  1.436,             0.00054478,             0.00054478,             0.00054478
                     71,                0.91276,                0.97982,                 1.3773,                0.83695,                 0.6516,                0.76125,                0.56746,                 1.0003,                0.91398,                 1.4368,             0.00052827,             0.00052827,             0.00052827
                     72,                0.90569,                0.97196,                 1.3782,                0.81932,                0.66158,                0.76347,                0.56992,                0.99683,                0.90966,                 1.4361,             0.00051177,             0.00051177,             0.00051177
                     73,                 0.9039,                0.96699,                 1.3728,                0.81957,                0.66581,                0.76351,                0.56895,                0.99967,                0.90885,                 1.4356,             0.00049527,             0.00049527,             0.00049527
                     74,                0.89919,                0.96681,                  1.369,                0.82962,                0.65885,                0.76579,                0.56986,                0.99794,                0.90158,                 1.4358,             0.00047876,             0.00047876,             0.00047876
                     75,                0.89275,                0.94136,                 1.3712,                0.83511,                0.65796,                0.76629,                0.57044,                0.99339,                0.89715,                 1.4284,             0.00046226,             0.00046226,             0.00046226
                     76,                 0.9019,                0.95333,                 1.3698,                0.82551,                0.66654,                0.76895,                0.57263,                0.99636,                0.88938,                 1.4301,             0.00044576,             0.00044576,             0.00044576
                     77,                0.89682,                0.95136,                  1.367,                0.83196,                0.66617,                0.76977,                0.57316,                0.99522,                0.89648,                  1.424,             0.00042925,             0.00042925,             0.00042925
                     78,                0.89365,                0.93732,                 1.3638,                0.84354,                0.66317,                0.77277,                0.57636,                0.99429,                0.88517,                  1.424,             0.00041275,             0.00041275,             0.00041275
                     79,                0.89075,                0.93362,                 1.3585,                0.84191,                 0.6635,                0.77099,                0.57514,                 1.0033,                 0.8889,                  1.433,             0.00039625,             0.00039625,             0.00039625
                     80,                0.89815,                0.93429,                 1.3703,                0.84553,                0.65948,                0.77103,                0.57544,                0.99532,                0.88726,                 1.4285,             0.00037974,             0.00037974,             0.00037974
                     81,                0.88793,                0.93441,                 1.3659,                0.82523,                0.68044,                0.77187,                0.57485,                0.99731,                0.88269,                 1.4275,             0.00036324,             0.00036324,             0.00036324
                     82,                0.88919,                0.93008,                 1.3625,                0.83034,                0.67534,                0.77074,                0.57579,                0.99179,                0.88454,                 1.4239,             0.00034674,             0.00034674,             0.00034674
                     83,                0.87554,                0.92003,                 1.3484,                0.83855,                0.66655,                0.77124,                0.57481,                0.99099,                0.88567,                 1.4233,             0.00033023,             0.00033023,             0.00033023
                     84,                0.88525,                0.91675,                 1.3534,                0.84071,                0.66508,                0.77181,                0.57689,                0.99211,                0.87935,                 1.4255,             0.00031373,             0.00031373,             0.00031373
                     85,                0.87099,                0.91509,                 1.3492,                0.82978,                0.67386,                0.77296,                0.57622,                0.99199,                0.87424,                  1.428,             0.00029723,             0.00029723,             0.00029723
                     86,                0.87343,                0.90859,                 1.3454,                0.83053,                0.67505,                0.77251,                0.57641,                0.99227,                0.87747,                 1.4248,             0.00028072,             0.00028072,             0.00028072
                     87,                0.87432,                0.90137,                 1.3497,                0.84013,                 0.6693,                0.77162,                0.57696,                0.99321,                0.87694,                 1.4259,             0.00026422,             0.00026422,             0.00026422
                     88,                0.86743,                0.88936,                 1.3364,                0.82468,                0.67215,                0.77027,                0.57618,                0.99031,                0.87488,                 1.4212,             0.00024772,             0.00024772,             0.00024772
                     89,                0.87415,                0.90187,                 1.3431,                0.83573,                0.66598,                0.77048,                0.57464,                0.99133,                0.87777,                 1.4241,             0.00023121,             0.00023121,             0.00023121
                     90,                0.86695,                 0.9059,                 1.3406,                0.83363,                0.67804,                0.77298,                0.57714,                0.98979,                0.88036,                 1.4225,             0.00021471,             0.00021471,             0.00021471
                     91,                0.82295,                0.78761,                 1.3205,                0.83196,                 0.6755,                0.77198,                 0.5764,                0.98794,                0.87656,                 1.4211,             0.00019821,             0.00019821,             0.00019821
                     92,                0.80484,                0.74454,                 1.3109,                0.82292,                0.67686,                0.77296,                0.57537,                0.99047,                 0.8765,                 1.4213,              0.0001817,              0.0001817,              0.0001817
                     93,                0.80433,                0.74553,                 1.3095,                0.83534,                0.67095,                0.77175,                0.57529,                0.99018,                0.87834,                 1.4207,              0.0001652,              0.0001652,              0.0001652
                     94,                 0.8033,                0.74589,                 1.3109,                  0.833,                0.67421,                0.77128,                0.57584,                0.98988,                0.87703,                 1.4198,              0.0001487,              0.0001487,              0.0001487
                     95,                0.79577,                0.72834,                 1.2981,                0.83442,                0.67661,                0.77299,                0.57652,                0.98641,                0.87466,                 1.4165,             0.00013219,             0.00013219,             0.00013219
                     96,                0.78806,                 0.7216,                 1.2941,                0.83393,                0.67382,                0.77387,                0.57695,                0.98535,                 0.8706,                 1.4158,             0.00011569,             0.00011569,             0.00011569
                     97,                 0.7903,                0.72525,                 1.2937,                 0.8253,                0.68268,                 0.7741,                 0.5786,                0.98593,                0.86878,                 1.4164,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.78461,                0.72155,                 1.2925,                0.82812,                0.68393,                0.77582,                0.58037,                0.98293,                0.86647,                 1.4156,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.78749,                0.71651,                 1.2892,                0.83586,                0.67855,                0.77596,                0.58104,                0.98204,                0.86455,                  1.414,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.77317,                0.69856,                 1.2863,                0.83787,                0.68089,                0.77666,                0.58051,                0.98301,                0.86323,                 1.4142,             4.9677e-05,             4.9677e-05,             4.9677e-05
