                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                 1.2028,                 1.5274,                 1.6692,                0.68413,                0.54381,                0.60585,                0.42372,                 1.2313,                 1.4192,                 1.7353,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.1973,                 1.5089,                 1.6621,                0.69248,                0.56237,                0.63015,                0.43767,                 1.2231,                 1.3502,                 1.7197,               0.001436,               0.001436,               0.001436
                     17,                 1.1754,                 1.4775,                 1.6412,                 0.6908,                0.55376,                0.63241,                0.43651,                 1.2473,                  1.359,                 1.7466,              0.0014195,              0.0014195,              0.0014195
                     18,                  1.157,                 1.4422,                 1.6221,                0.70978,                0.54916,                0.64012,                0.45292,                 1.2002,                 1.3098,                 1.6958,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.1438,                 1.4225,                 1.6146,                0.67472,                0.55828,                0.63009,                0.44632,                 1.1741,                 1.3159,                 1.6719,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.1333,                 1.4004,                 1.6049,                0.72595,                0.57728,                0.64979,                0.45991,                 1.1846,                 1.2673,                 1.6917,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.1397,                 1.4014,                 1.6051,                0.72618,                0.57604,                0.65603,                0.46843,                 1.1596,                 1.2354,                 1.6531,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.1157,                 1.3682,                 1.5866,                0.72756,                0.56861,                 0.6535,                0.46386,                 1.1552,                  1.252,                 1.6491,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.1002,                 1.3474,                 1.5747,                0.71214,                 0.5825,                0.66628,                 0.4757,                 1.1441,                 1.2494,                 1.6372,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.1033,                 1.3341,                 1.5736,                0.74051,                0.59864,                0.66919,                0.47461,                 1.1578,                 1.2167,                  1.645,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.0961,                 1.3252,                 1.5666,                0.74028,                0.60345,                0.67922,                0.48653,                 1.1181,                 1.1856,                 1.6074,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.0738,                 1.2926,                 1.5546,                0.74277,                0.59803,                0.68634,                0.49487,                 1.1092,                 1.1467,                  1.597,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.0852,                 1.3002,                 1.5516,                0.72338,                0.59827,                0.67306,                0.48368,                 1.1236,                 1.1812,                 1.6033,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.0724,                 1.2781,                 1.5432,                0.73543,                0.61983,                0.68914,                0.49161,                 1.1198,                 1.1557,                 1.5971,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.0675,                  1.281,                 1.5441,                0.76513,                 0.6071,                0.69411,                0.50043,                 1.1093,                 1.1192,                 1.5891,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.0632,                 1.2689,                 1.5328,                0.75871,                0.59565,                0.68892,                0.49747,                 1.1079,                 1.1389,                 1.5945,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.0542,                 1.2491,                 1.5213,                0.74612,                0.60784,                0.70124,                0.50949,                 1.0997,                 1.1075,                 1.5637,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.0637,                 1.2461,                 1.5261,                0.76395,                0.61516,                0.70064,                0.50501,                  1.102,                 1.0955,                 1.5736,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.0473,                 1.2326,                 1.5162,                0.73501,                0.63855,                0.70532,                0.50945,                 1.0844,                 1.0885,                  1.562,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.0417,                 1.2062,                 1.5101,                0.78529,                0.60981,                0.70797,                0.50838,                 1.0968,                 1.0938,                 1.5695,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.0337,                 1.2035,                 1.5005,                0.77976,                0.61168,                0.70901,                0.51511,                 1.0734,                  1.082,                 1.5491,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.0356,                 1.2058,                 1.5014,                0.77269,                0.62116,                0.70706,                0.51597,                 1.0782,                 1.0771,                 1.5516,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.0444,                 1.2094,                 1.5144,                0.78386,                0.62267,                0.71796,                0.52053,                 1.0696,                 1.0544,                 1.5409,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.0182,                 1.1896,                 1.4917,                0.78227,                0.61921,                0.71744,                0.51895,                 1.0727,                  1.071,                 1.5426,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.0201,                  1.177,                 1.4853,                0.78074,                0.62915,                0.72194,                0.52647,                 1.0655,                 1.0565,                 1.5307,              0.0010564,              0.0010564,              0.0010564
                     40,                  1.007,                 1.1702,                 1.4754,                0.77721,                0.61995,                0.71125,                 0.5197,                 1.0539,                  1.061,                 1.5202,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.0108,                  1.169,                 1.4747,                0.77478,                0.63726,                0.72129,                0.52979,                 1.0541,                 1.0321,                 1.5189,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.0085,                 1.1458,                 1.4738,                0.77095,                0.64542,                0.72871,                0.53133,                 1.0567,                 1.0339,                 1.5171,              0.0010069,              0.0010069,              0.0010069
                     43,                0.99715,                 1.1406,                 1.4667,                0.80305,                0.62336,                0.72407,                0.53198,                 1.0488,                 1.0312,                 1.5088,             0.00099036,             0.00099036,             0.00099036
                     44,                0.99044,                 1.1242,                 1.4649,                 0.7842,                0.64192,                0.72816,                0.53326,                 1.0401,                 1.0107,                 1.5001,             0.00097386,             0.00097386,             0.00097386
                     45,                0.99714,                 1.1353,                 1.4679,                0.77979,                0.64415,                0.73088,                  0.539,                 1.0343,                 1.0136,                 1.4927,             0.00095736,             0.00095736,             0.00095736
                     46,                0.99246,                 1.1346,                 1.4599,                0.79946,                0.63512,                0.73358,                0.54008,                  1.039,                 1.0051,                 1.4961,             0.00094085,             0.00094085,             0.00094085
                     47,                0.99142,                 1.1194,                 1.4582,                 0.7851,                0.64521,                0.73236,                0.53699,                 1.0437,                 1.0097,                 1.4975,             0.00092435,             0.00092435,             0.00092435
                     48,                0.97207,                 1.0964,                 1.4464,                0.76615,                0.65858,                0.73371,                0.53944,                 1.0369,                 1.0031,                 1.4996,             0.00090785,             0.00090785,             0.00090785
                     49,                0.98508,                 1.1168,                 1.4572,                 0.7916,                0.66022,                0.73879,                0.54467,                  1.041,                0.98204,                 1.4963,             0.00089134,             0.00089134,             0.00089134
                     50,                0.97374,                 1.1079,                 1.4459,                0.78371,                0.64873,                0.73625,                0.54211,                 1.0313,                0.98276,                 1.4886,             0.00087484,             0.00087484,             0.00087484
                     51,                0.96687,                 1.0895,                 1.4429,                0.80865,                0.64024,                0.74376,                0.54637,                  1.032,                  0.973,                 1.4833,             0.00085834,             0.00085834,             0.00085834
                     52,                 0.9692,                 1.0833,                 1.4416,                0.79353,                0.65334,                0.74615,                0.54828,                 1.0354,                0.97893,                 1.4857,             0.00084184,             0.00084184,             0.00084184
                     53,                0.95954,                 1.0814,                 1.4356,                0.78395,                0.65825,                0.74323,                0.54923,                 1.0247,                0.96707,                 1.4798,             0.00082533,             0.00082533,             0.00082533
                     54,                0.96067,                 1.0704,                 1.4345,                0.79365,                0.66158,                0.75053,                0.55337,                  1.022,                0.95922,                 1.4804,             0.00080883,             0.00080883,             0.00080883
                     55,                0.95768,                 1.0592,                 1.4272,                0.81021,                0.64539,                0.74847,                0.55476,                 1.0185,                 0.9584,                 1.4689,             0.00079233,             0.00079233,             0.00079233
                     56,                0.96105,                 1.0576,                 1.4281,                0.79601,                0.65986,                0.74904,                0.55338,                 1.0187,                0.95286,                 1.4743,             0.00077582,             0.00077582,             0.00077582
                     57,                 0.9502,                  1.056,                 1.4296,                0.80936,                0.64318,                0.75093,                0.55453,                 1.0123,                0.95389,                 1.4681,             0.00075932,             0.00075932,             0.00075932
                     58,                0.95955,                   1.05,                 1.4282,                0.79247,                0.66046,                0.74861,                0.55087,                 1.0177,                0.96231,                 1.4714,             0.00074282,             0.00074282,             0.00074282
                     59,                0.94841,                 1.0405,                 1.4159,                0.81065,                0.64503,                0.75102,                0.55669,                 1.0116,                0.94386,                 1.4591,             0.00072631,             0.00072631,             0.00072631
                     60,                 0.9485,                 1.0389,                 1.4112,                0.79925,                 0.6561,                0.75188,                0.55881,                 1.0101,                0.94292,                 1.4615,             0.00070981,             0.00070981,             0.00070981
                     61,                0.93747,                 1.0359,                 1.4088,                0.79384,                0.65971,                0.75023,                0.55839,                 1.0078,                0.94218,                 1.4565,             0.00069331,             0.00069331,             0.00069331
                     62,                0.93897,                  1.025,                 1.4077,                 0.8015,                0.66679,                0.75563,                0.56106,                 1.0016,                0.93749,                 1.4506,              0.0006768,              0.0006768,              0.0006768
                     63,                0.92011,                  1.008,                 1.3939,                0.80588,                0.66164,                0.75532,                0.56121,                 1.0027,                0.92682,                 1.4543,              0.0006603,              0.0006603,              0.0006603
                     64,                0.94262,                 1.0194,                 1.4081,                0.80001,                0.66672,                  0.757,                0.56239,                0.99649,                0.93286,                 1.4419,              0.0006438,              0.0006438,              0.0006438
                     65,                0.92203,                 1.0045,                 1.3998,                0.82599,                0.65239,                0.75717,                0.56147,                 1.0067,                0.93411,                 1.4548,             0.00062729,             0.00062729,             0.00062729
                     66,                0.92786,                 1.0242,                 1.3973,                0.82325,                0.65689,                0.76027,                0.56457,                0.99783,                0.92289,                 1.4444,             0.00061079,             0.00061079,             0.00061079
                     67,                0.92079,                 1.0007,                 1.3926,                0.81031,                0.66342,                0.75857,                0.56478,                 1.0013,                0.93015,                 1.4451,             0.00059429,             0.00059429,             0.00059429
                     68,                0.91849,                0.98949,                 1.3909,                  0.843,                0.64349,                0.76003,                0.56595,                0.99772,                0.92744,                 1.4421,             0.00057778,             0.00057778,             0.00057778
                     69,                0.91158,                0.99035,                 1.3909,                0.80923,                0.66102,                0.75735,                0.56312,                0.99927,                0.92431,                 1.4472,             0.00056128,             0.00056128,             0.00056128
                     70,                0.91857,                0.98731,                 1.3949,                0.83527,                0.64167,                0.75734,                 0.5659,                0.99924,                0.92316,                 1.4467,             0.00054478,             0.00054478,             0.00054478
                     71,                0.91567,                0.97965,                 1.3898,                0.81957,                0.66414,                0.76197,                0.56745,                 1.0036,                0.91688,                 1.4484,             0.00052827,             0.00052827,             0.00052827
                     72,                 0.9089,                0.97894,                 1.3841,                0.81273,                0.66593,                 0.7634,                0.56951,                0.99763,                0.90911,                 1.4395,             0.00051177,             0.00051177,             0.00051177
                     73,                0.91767,                 0.9736,                 1.3867,                0.82658,                0.66011,                0.76087,                0.56966,                0.99524,                0.91321,                 1.4367,             0.00049527,             0.00049527,             0.00049527
                     74,                0.90887,                 0.9633,                 1.3813,                0.81241,                0.66588,                0.76315,                0.56905,                0.99293,                0.91094,                 1.4349,             0.00047876,             0.00047876,             0.00047876
                     75,                0.89793,                0.95743,                 1.3803,                0.83041,                0.65816,                0.76459,                0.57259,                0.99325,                0.90153,                 1.4356,             0.00046226,             0.00046226,             0.00046226
                     76,                0.89739,                0.93796,                 1.3728,                0.82268,                0.66888,                  0.764,                0.57315,                0.99408,                0.90316,                 1.4363,             0.00044576,             0.00044576,             0.00044576
                     77,                0.89641,                0.95534,                  1.373,                0.80123,                0.68009,                0.76397,                0.57123,                0.99313,                0.90354,                 1.4354,             0.00042925,             0.00042925,             0.00042925
                     78,                0.90026,                0.94323,                 1.3749,                0.82236,                0.67549,                0.76713,                0.57351,                0.98732,                0.90107,                 1.4299,             0.00041275,             0.00041275,             0.00041275
                     79,                0.89176,                0.93621,                 1.3693,                0.82281,                0.66642,                0.76515,                0.57265,                0.98696,                0.89946,                 1.4319,             0.00039625,             0.00039625,             0.00039625
                     80,                0.89216,                0.94738,                 1.3701,                0.82725,                0.67263,                0.76975,                0.57583,                0.98315,                0.89365,                 1.4289,             0.00037974,             0.00037974,             0.00037974
                     81,                0.89621,                0.94471,                 1.3741,                0.80454,                0.68952,                0.76862,                0.57555,                0.98361,                0.89137,                 1.4295,             0.00036324,             0.00036324,             0.00036324
                     82,                0.88278,                0.92761,                 1.3642,                0.82594,                0.67594,                0.76947,                0.57625,                  0.986,                0.88996,                 1.4303,             0.00034674,             0.00034674,             0.00034674
                     83,                0.87889,                 0.9286,                 1.3598,                0.82594,                0.67599,                0.77098,                0.57586,                0.98425,                0.88655,                 1.4277,             0.00033023,             0.00033023,             0.00033023
                     84,                0.88908,                0.92928,                 1.3693,                0.81216,                0.68523,                0.77037,                0.57712,                0.98226,                0.88767,                 1.4246,             0.00031373,             0.00031373,             0.00031373
                     85,                0.87274,                0.91078,                 1.3568,                0.82649,                0.67505,                0.77083,                0.57672,                0.98077,                0.88581,                 1.4255,             0.00029723,             0.00029723,             0.00029723
                     86,                0.87645,                0.91272,                  1.361,                0.82785,                0.67254,                0.77014,                0.57769,                0.98037,                0.88678,                 1.4244,             0.00028072,             0.00028072,             0.00028072
                     87,                 0.8807,                0.91597,                  1.359,                0.82066,                 0.6774,                0.77122,                0.57778,                0.98352,                0.88702,                 1.4265,             0.00026422,             0.00026422,             0.00026422
                     88,                0.87186,                0.90541,                 1.3532,                0.83134,                 0.6737,                0.77269,                 0.5792,                0.98186,                0.88132,                 1.4243,             0.00024772,             0.00024772,             0.00024772
                     89,                0.86674,                0.90436,                 1.3487,                0.82159,                0.67512,                0.77242,                0.57878,                  0.982,                0.87997,                 1.4247,             0.00023121,             0.00023121,             0.00023121
                     90,                0.87027,                0.91457,                 1.3526,                0.84006,                0.67294,                0.77347,                0.57911,                0.98182,                0.87881,                 1.4223,             0.00021471,             0.00021471,             0.00021471
                     91,                0.82643,                0.77827,                 1.3313,                0.81916,                0.67993,                0.77228,                0.57973,                0.97693,                0.87496,                 1.4195,             0.00019821,             0.00019821,             0.00019821
                     92,                0.80927,                0.75646,                 1.3265,                0.83785,                 0.6736,                0.77277,                0.57912,                0.97833,                0.87403,                 1.4223,              0.0001817,              0.0001817,              0.0001817
                     93,                0.79993,                0.74765,                 1.3078,                0.84079,                0.67638,                0.77323,                0.57838,                0.97761,                0.87146,                 1.4207,              0.0001652,              0.0001652,              0.0001652
